event_id,event_time,user_id,session_id,event_type,product_id,category,brand,price,device,traffic_source,country
1,2025-01-01 00:05:00,10344,S109566,view,711637,fashion.womens_clothing,Mango,6848.11,mobile,referral,Brazil
2,2025-01-01 00:28:00,1599,S115668,view,721214,electronics.smartphone,OnePlus,52804.98,mobile,organic,UK
3,2025-01-01 00:30:37,1599,S115668,view,369031,electronics.audio,Noise,12282.79,mobile,organic,UK
4,2025-01-01 00:32:00,3766,S115930,view,750838,fashion.womens_clothing,Forever21,5483.74,mobile,social,Brazil
5,2025-01-01 00:32:03,1599,S115668,view,958224,electronics.smartphone,Realme,67228.63,mobile,organic,UK
6,2025-01-01 00:32:36,1599,S115668,view,481830,toys.games,Lego,6308.36,mobile,organic,UK
7,2025-01-01 00:40:00,7003,S110269,view,581384,home.furniture,UrbanLadder,17506.54,tablet,organic,Brazil
8,2025-01-01 00:41:22,7003,S110269,view,105283,beauty.skincare,Nivea,588.85,tablet,organic,Brazil
9,2025-01-01 00:42:36,7003,S110269,view,691581,fashion.shoes,Nike,3346.2,tablet,organic,Brazil
10,2025-01-01 00:50:00,3601,S100779,view,675870,electronics.smartphone,Realme,86299.38,desktop,paid_search,Brazil
11,2025-01-01 00:50:00,7003,S110269,add_to_cart,581384,home.furniture,UrbanLadder,17506.54,tablet,organic,Brazil
12,2025-01-01 00:52:15,3601,S100779,view,899723,electronics.audio,Sony,12285.75,desktop,paid_search,Brazil
13,2025-01-01 00:55:00,9950,S111171,view,238301,beauty.fragrance,Yardley,3650.69,mobile,organic,UK
14,2025-01-01 00:57:00,10770,S105337,view,296114,beauty.skincare,Mamaearth,242.3,mobile,social,USA
15,2025-01-01 00:58:00,7363,S111066,view,166010,home.kitchen,Bajaj,10179.73,mobile,paid_search,India
16,2025-01-01 00:58:18,10770,S105337,view,564531,toys.games,Mattel,14108.47,mobile,social,USA
17,2025-01-01 00:58:19,10770,S105337,view,345819,fashion.womens_clothing,Mango,4608.49,mobile,social,USA
18,2025-01-01 00:59:45,10770,S105337,view,852840,home.furniture,Wakefit,47690.04,mobile,social,USA
19,2025-01-01 01:00:00,1241,S100060,view,784570,fashion.womens_clothing,Mango,8722.21,desktop,paid_search,India
20,2025-01-01 01:01:08,1241,S100060,view,767734,electronics.laptop,Asus,64324.57,desktop,paid_search,India
21,2025-01-01 01:02:12,1241,S100060,view,727369,electronics.smartphone,Apple,44018.48,desktop,paid_search,India
22,2025-01-01 01:03:00,7003,S110269,checkout,581384,home.furniture,UrbanLadder,17506.54,tablet,organic,Brazil
23,2025-01-01 01:06:00,7225,S108564,view,187481,home.kitchen,Philips,2713.76,tablet,referral,UK
24,2025-01-01 01:06:00,11091,S110304,view,595049,home.furniture,Wakefit,30265.47,tablet,paid_search,Germany
25,2025-01-01 01:06:51,1241,S100060,view,750752,toys.games,Mattel,11433.73,desktop,paid_search,India
26,2025-01-01 01:07:06,11091,S110304,view,171294,home.kitchen,Havells,807.18,tablet,paid_search,Germany
27,2025-01-01 01:08:05,11091,S110304,view,605526,home.kitchen,Pigeon,5365.83,tablet,paid_search,Germany
28,2025-01-01 01:08:58,7225,S108564,view,297647,home.furniture,Nilkamal,17255.61,tablet,referral,UK
29,2025-01-01 01:10:30,7225,S108564,view,493654,electronics.smartphone,OnePlus,49570.85,tablet,referral,UK
30,2025-01-01 01:12:00,235,S102641,view,732672,fashion.womens_clothing,Mango,8582.4,mobile,referral,Germany
31,2025-01-01 01:12:00,11091,S110304,add_to_cart,595049,home.furniture,Wakefit,30265.47,tablet,paid_search,Germany
32,2025-01-01 01:13:03,7225,S108564,view,528917,fashion.womens_clothing,Zara,8903.59,tablet,referral,UK
33,2025-01-01 01:19:00,11091,S110304,remove_from_cart,595049,home.furniture,Wakefit,30265.47,tablet,paid_search,Germany
34,2025-01-01 01:20:00,235,S102641,add_to_cart,732672,fashion.womens_clothing,Mango,8582.4,mobile,referral,Germany
35,2025-01-01 01:30:00,10485,S110804,view,419032,electronics.smartphone,Apple,35771.93,desktop,paid_search,Brazil
36,2025-01-01 01:32:00,235,S102641,checkout,732672,fashion.womens_clothing,Mango,8582.4,mobile,referral,Germany
37,2025-01-01 01:32:26,10485,S110804,view,918389,home.kitchen,Havells,10444.77,desktop,paid_search,Brazil
38,2025-01-01 01:33:56,10485,S110804,view,991026,home.furniture,Ikea,75697.87,desktop,paid_search,Brazil
39,2025-01-01 01:35:00,235,S102641,purchase,732672,fashion.womens_clothing,Mango,8582.4,mobile,referral,Germany
40,2025-01-01 01:44:00,9951,S104850,view,962449,toys.games,Funskool,1770.3,desktop,email,Brazil
41,2025-01-01 01:45:00,10485,S110804,add_to_cart,918389,home.kitchen,Havells,10444.77,desktop,paid_search,Brazil
42,2025-01-01 01:46:38,9951,S104850,view,736711,home.furniture,Ikea,72014.32,desktop,email,Brazil
43,2025-01-01 01:51:00,10485,S110804,checkout,918389,home.kitchen,Havells,10444.77,desktop,paid_search,Brazil
44,2025-01-01 01:55:00,9739,S115922,view,984769,toys.games,HotWheels,14670.93,mobile,organic,India
